level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	633	159	1378	62	-1	
3	1	1	1	0	0	633	159	1378	57	-1	
4	1	1	1	1	0	633	159	1373	45	-1	
5	1	1	1	1	1	633	174	10	10	0.000000	-
5	1	1	1	1	2	675	159	54	43	93.843742	There
5	1	1	1	1	3	735	159	19	43	73.825272	is
5	1	1	1	1	4	761	159	18	43	61.089684	we
5	1	1	1	1	5	789	159	48	43	80.873001	proaf
5	1	1	1	1	6	843	159	51	43	51.665192	fering
5	1	1	1	1	7	904	159	27	43	73.324547	d's
5	1	1	1	1	8	943	159	84	43	48.289722	deduction
5	1	1	1	1	9	1036	159	68	43	76.630081	method)
5	1	1	1	1	10	1112	159	18	43	18.758133	0f
5	1	1	1	1	11	1137	175	8	15	18.758133	0
5	1	1	1	1	12	1165	179	22	14	40.060928	1
5	1	1	1	1	13	1198	159	40	43	78.962212	from
5	1	1	1	1	14	1248	159	26	43	59.487988	the
5	1	1	1	1	15	1284	159	44	43	0.000000	enien
5	1	1	1	1	16	1337	159	18	43	60.265251	of
5	1	1	1	1	17	1366	159	22	43	37.646889	Ue
5	1	1	1	1	18	1398	159	48	43	35.464302	eriom
5	1	1	1	1	19	1456	159	58	43	0.922661	eretem
5	1	1	1	1	20	1528	169	11	10	72.270973	a
5	1	1	1	1	21	1552	159	41	43	72.985382	with
5	1	1	1	1	22	1599	159	30	43	38.175819	IND
5	1	1	1	1	23	1638	159	66	43	41.560074	sentence
5	1	1	1	1	24	1715	159	21	43	75.420670	og
5	1	1	1	1	25	1910	191	7	13	38.863506	4
5	1	1	1	1	26	1926	167	18	41	53.207069	at
5	1	1	1	1	27	1952	185	54	19	33.072601	steel)
4	1	1	1	2	0	1740	183	271	38	-1	
5	1	1	1	2	1	1740	183	62	38	57.390118	Uefa,
5	1	1	1	2	2	1812	197	14	19	52.873894	a)
5	1	1	1	2	3	1834	196	7	9	42.873749	>
5	1	1	1	2	4	1853	183	56	38	38.981064	(lookin
5	1	1	1	2	5	2007	195	4	4	15.134544	i
2	1	2	0	0	0	540	205	1968	137	-1	
3	1	2	1	0	0	541	205	1110	40	-1	
4	1	2	1	1	0	541	205	1110	40	-1	
5	1	2	1	1	1	541	205	32	35	29.879318	Ke
5	1	2	1	1	2	649	206	29	38	38.243706	be
5	1	2	1	1	3	1300	214	97	31	62.075752	statement
5	1	2	1	1	4	1407	218	45	15	52.697830	Bech
5	1	2	1	1	5	1458	218	20	18	95.544975	of
5	1	2	1	1	6	1482	219	64	18	68.130547	Kleene,
5	1	2	1	1	7	1555	220	58	19	90.062431	Rogers
5	1	2	1	1	8	1629	226	22	15	75.418030	nd
3	1	2	2	0	0	540	217	1968	60	-1	
4	1	2	2	1	0	540	217	1968	60	-1	
5	1	2	2	1	1	540	220	54	46	0.000000	Paha
5	1	2	2	1	2	663	245	38	15	20.668709	ie
5	1	2	2	1	3	713	220	55	50	0.000000	rieitee
5	1	2	2	1	4	783	220	40	50	46.825203	Roe
5	1	2	2	1	5	870	218	141	45	0.000000	poten
5	1	2	2	1	6	1035	218	23	45	24.364540	dy
5	1	2	2	1	7	1059	220	20	47	35.797157	oh
5	1	2	2	1	8	1090	220	36	47	20.804451	ie
5	1	2	2	1	9	1125	224	129	36	0.000000	“Selena,
5	1	2	2	1	10	1263	230	28	19	62.417160	4)”
5	1	2	2	1	11	1375	217	80	60	29.712654	rer
5	1	2	2	1	12	1490	256	82	17	0.000000	ria
5	1	2	2	1	13	1618	229	10	9	31.521439	O14
5	1	2	2	1	14	1655	228	49	20	19.751503	Jered
5	1	2	2	1	15	1728	222	28	52	57.550362	1%,
5	1	2	2	1	16	1767	222	19	52	58.964329	29,
5	1	2	2	1	17	1797	222	21	52	55.837029	sey
5	1	2	2	1	18	1827	234	77	31	26.123154	ato?
5	1	2	2	1	19	1914	241	58	17	48.709316	mop,
5	1	2	2	1	20	1992	245	23	9	78.272736	however,
5	1	2	2	1	21	2049	241	17	17	93.236633	be
5	1	2	2	1	22	2073	243	7	14	29.294327	&
5	1	2	2	1	23	2184	225	71	45	41.816650	(derplta
5	1	2	2	1	24	2266	236	67	21	30.415283	SRR
5	1	2	2	1	25	2337	242	20	13	31.795929	@,
5	1	2	2	1	26	2367	225	35	45	0.000000	2)"*
5	1	2	2	1	27	2412	225	96	45	41.295223	assertion),
3	1	2	3	0	0	544	255	1962	61	-1	
4	1	2	3	1	0	544	255	1880	45	-1	
5	1	2	3	1	1	544	255	45	45	12.793320	bg,
5	1	2	3	1	2	596	255	38	45	21.744759	Tie
5	1	2	3	1	3	648	255	57	45	22.633217	Treble
5	1	2	3	1	4	723	255	50	45	0.000000	eriene
5	1	2	3	1	5	787	255	12	45	41.473854	bn
5	1	2	3	1	6	810	255	64	45	0.000000	cette
5	1	2	3	1	7	888	263	31	32	4.754875	me
5	1	2	3	1	8	956	255	42	45	0.000000	en
