level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	125	60	2319	247	-1	
3	1	1	1	0	0	125	60	2319	208	-1	
4	1	1	1	1	0	188	60	2253	34	-1	
5	1	1	1	1	1	188	60	104	23	96.240036	March
5	1	1	1	1	2	308	61	17	24	96.240036	8
5	1	1	1	1	3	342	60	94	23	96.434547	Notes
5	1	1	1	1	4	453	60	45	24	95.944618	for
5	1	1	1	1	5	516	60	65	24	96.967133	“On
5	1	1	1	1	6	599	62	52	23	96.341454	the
5	1	1	1	1	7	667	63	147	31	96.233009	Formally
5	1	1	1	1	8	830	66	114	23	96.459702	Proven
5	1	1	1	1	9	961	66	219	28	89.331253	Inconsistency
5	1	1	1	1	10	1196	66	35	22	93.253044	of
5	1	1	1	1	11	1243	64	143	24	92.325813	Zermello
5	1	1	1	1	12	1401	61	121	25	96.186623	Frankel
5	1	1	1	1	13	1537	60	51	25	96.478142	Set
5	1	1	1	1	14	1605	60	118	28	96.215614	Theory
5	1	1	1	1	15	1739	61	58	22	96.499451	and
5	1	1	1	1	16	1813	61	125	24	95.822762	Related
5	1	1	1	1	17	1955	61	161	29	95.387451	Systems”.
5	1	1	1	1	18	2190	64	41	24	95.273781	On
5	1	1	1	1	19	2248	68	9	20	95.122108	1
5	1	1	1	1	20	2276	66	87	25	96.306549	March
5	1	1	1	1	21	2378	70	63	22	96.671371	2008
4	1	1	1	2	0	125	90	2317	60	-1	
5	1	1	1	2	1	125	90	74	23	96.341393	while
5	1	1	1	2	2	213	94	28	21	92.482819	at
5	1	1	1	2	3	253	90	92	25	90.482849	child’s
5	1	1	1	2	4	358	90	50	24	96.822464	fair
5	1	1	1	2	5	420	91	26	23	96.560905	in
5	1	1	1	2	6	458	91	46	25	96.560905	the
5	1	1	1	2	7	518	91	104	30	96.755150	Albany
5	1	1	1	2	8	634	98	169	24	96.240105	government
5	1	1	1	2	9	815	96	85	28	94.700775	plaza,
5	1	1	1	2	10	918	96	4	24	43.060131	|
5	1	1	1	2	11	937	95	70	33	96.855927	(Dan
5	1	1	1	2	12	1021	96	120	54	33.095825	en
5	1	1	1	2	13	1156	97	83	28	96.281700	began
5	1	1	1	2	14	1252	98	28	22	96.281700	to
