level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	239	287	1751	171	-1	
3	1	1	1	0	0	239	287	1751	171	-1	
4	1	1	1	1	0	239	287	1750	54	-1	
5	1	1	1	1	1	239	297	42	37	91.836838	B.
5	1	1	1	1	2	331	287	184	52	42.718849	Prf.(t,p)
5	1	1	1	1	3	544	292	32	36	96.595558	is
5	1	1	1	1	4	599	295	82	35	96.436005	true
5	1	1	1	1	5	706	292	139	47	72.563675	exactly
5	1	1	1	1	6	868	292	105	38	92.664207	when
5	1	1	1	1	7	1011	303	26	35	92.664207	p
5	1	1	1	1	8	1083	294	31	36	96.808548	is
5	1	1	1	1	9	1138	292	59	38	93.252213	the
5	1	1	1	1	10	1224	292	116	39	84.415031	Gédel
5	1	1	1	1	11	1362	291	155	39	96.830551	number
5	1	1	1	1	12	1539	292	43	47	96.830551	of
5	1	1	1	1	13	1599	305	23	25	96.786934	a
5	1	1	1	1	14	1642	293	113	48	96.794945	proof
5	1	1	1	1	15	1772	295	110	45	93.240585	using
5	1	1	1	1	16	1922	292	67	38	68.786339	a’s
4	1	1	1	2	0	329	408	1661	50	-1	
5	1	1	1	2	1	329	422	133	36	93.268791	proper
5	1	1	1	2	2	478	411	141	36	0.000000	azioms
5	1	1	1	2	3	637	410	120	38	96.474602	whose
5	1	1	1	2	4	776	410	70	37	96.474602	last
5	1	1	1	2	5	863	413	174	35	96.341766	sentence
5	1	1	1	2	6	1054	410	66	38	93.262589	has
5	1	1	1	2	7	1151	411	51	37	91.229752	t’s
5	1	1	1	2	8	1223	410	116	39	32.759232	Gédel
5	1	1	1	2	9	1356	409	161	39	96.786339	number.
5	1	1	1	2	10	1550	408	112	50	93.287094	(Here
5	1	1	1	2	11	1694	414	15	34	91.820953	t
5	1	1	1	2	12	1745	413	33	35	95.778137	is
5	1	1	1	2	13	1797	409	116	39	96.599754	called
5	1	1	1	2	14	1931	409	59	37	96.776253	the
2	1	2	0	0	0	341	526	892	50	-1	
3	1	2	1	0	0	341	526	892	50	-1	
4	1	2	1	1	0	341	526	892	50	-1	
5	1	2	1	1	1	341	527	200	39	96.026573	“theorem”
5	1	2	1	1	2	560	540	138	35	96.026573	proven
5	1	2	1	1	3	718	528	42	46	92.543472	by
5	1	2	1	1	4	793	527	59	48	92.008545	p’s
5	1	2	1	1	5	873	528	59	38	97.003120	list
5	1	2	1	1	6	953	528	42	48	97.016594	of
5	1	2	1	1	7	1008	526	225	50	96.391266	sentences.)
2	1	3	0	0	0	220	732	1770	282	-1	
3	1	3	1	0	0	220	732	1770	282	-1	
4	1	3	1	1	0	289	732	1701	49	-1	
5	1	3	1	1	1	289	733	137	38	96.798347	Proof
5	1	3	1	1	2	443	733	169	38	95.638748	Sketch.
5	1	3	1	1	3	639	734	81	37	96.126045	The
5	1	3	1	1	4	738	734	156	37	96.881516	method
5	1	3	1	1	5	914	733	55	38	96.407181	for
5	1	3	1	1	6	987	735	155	46	96.244858	proving
5	1	3	1	1	7	1161	732	140	39	95.769592	Claims
5	1	3	1	1	8	1320	733	32	37	95.769592	A
