level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	385	472	1940	130	-1	
3	1	1	1	0	0	385	472	1940	130	-1	
4	1	1	1	1	0	385	472	1940	50	-1	
5	1	1	1	1	1	385	474	102	37	96.871880	Your
5	1	1	1	1	2	503	486	143	26	96.764862	answer
5	1	1	1	1	3	660	486	71	26	96.198006	can
5	1	1	1	1	4	745	474	49	38	96.976662	be
5	1	1	1	1	5	811	486	40	26	96.444771	as
5	1	1	1	1	6	867	474	132	46	95.917114	simple
5	1	1	1	1	7	1014	486	42	25	95.917114	as
5	1	1	1	1	8	1071	486	24	25	95.729034	a
5	1	1	1	1	9	1108	486	70	25	95.827553	one
5	1	1	1	1	10	1193	479	173	33	95.827553	sentence
5	1	1	1	1	11	1381	474	87	48	95.982140	long
5	1	1	1	1	12	1483	474	160	38	95.065514	because
5	1	1	1	1	13	1659	474	15	37	89.276314	I
5	1	1	1	1	14	1686	475	83	45	96.947037	just
5	1	1	1	1	15	1784	478	102	32	96.383476	want
5	1	1	1	1	16	1903	473	66	38	96.653214	the
5	1	1	1	1	17	1984	478	147	33	93.940735	correct
5	1	1	1	1	18	2146	472	179	39	93.940735	formula.
4	1	1	1	2	0	390	553	1934	49	-1	
5	1	1	1	2	1	390	553	30	49	67.293510	(I
5	1	1	1	2	2	439	565	62	26	96.486633	am
5	1	1	1	2	3	520	559	67	32	96.460983	not
5	1	1	1	2	4	604	565	86	26	96.728683	sure
5	1	1	1	2	5	706	554	87	37	96.728683	that
5	1	1	1	2	6	812	554	14	36	88.159042	I
5	1	1	1	2	7	844	554	74	37	96.011162	will
5	1	1	1	2	8	933	556	83	45	96.011162	give
5	1	1	1	2	9	1032	554	136	45	96.722839	partial
5	1	1	1	2	10	1185	554	118	38	96.811378	credit
5	1	1	1	2	11	1320	554	56	38	96.854042	for
5	1	1	1	2	12	1391	555	67	37	96.841240	the
5	1	1	1	2	13	1474	565	128	35	96.080559	wrong
5	1	1	1	2	14	1618	565	155	33	96.578026	answer,
5	1	1	1	2	15	1791	554	78	36	96.578026	and
5	1	1	1	2	16	1887	554	15	36	87.501343	I
5	1	1	1	2	17	1920	565	64	25	96.954300	am
5	1	1	1	2	18	2001	554	141	45	94.672920	simply
5	1	1	1	2	19	2160	553	74	37	96.457970	will
5	1	1	1	2	20	2254	559	70	31	96.859909	not
2	1	2	0	0	0	388	629	1850	50	-1	
3	1	2	1	0	0	388	629	1850	50	-1	
4	1	2	1	1	0	388	629	1850	50	-1	
5	1	2	1	1	1	388	639	168	40	96.085953	attempt
5	1	2	1	1	2	573	638	42	32	96.506805	to
5	1	2	1	1	3	632	634	82	45	96.832489	give
5	1	2	1	1	4	732	633	138	45	96.803841	partial
5	1	2	1	1	5	886	633	119	37	96.177811	credit
5	1	2	1	1	6	1023	632	56	37	96.568115	for
5	1	2	1	1	7	1096	645	24	23	96.554283	a
5	1	2	1	1	8	1135	645	126	34	96.554283	wrong
5	1	2	1	1	9	1278	645	141	25	96.610428	answer
5	1	2	1	1	10	1437	633	85	37	96.733810	that
5	1	2	1	1	11	1540	634	30	35	96.888245	is
5	1	2	1	1	12	1587	643	104	26	96.951569	more
5	1	2	1	1	13	1709	632	95	36	96.588943	than
5	1	2	1	1	14	1823	634	62	34	96.654854	2-4
5	1	2	1	1	15	1903	638	198	32	96.606155	sentences
5	1	2	1	1	16	2118	629	120	50	96.729355	long.)
2	1	3	0	0	0	299	748	2021	125	-1	
3	1	3	1	0	0	299	748	2021	125	-1	
4	1	3	1	1	0	299	748	2021	47	-1	
5	1	3	1	1	1	299	752	70	36	91.642944	F-2
5	1	3	1	1	2	408	750	94	36	96.113983	This
5	1	3	1	1	3	523	754	87	41	96.791679	part
5	1	3	1	1	4	630	750	32	35	96.798096	is
5	1	3	1	1	5	682	748	65	38	96.329811	the
5	1	3	1	1	6	767	748	137	47	95.877670	analog
5	1	3	1	1	7	922	748	41	38	93.261124	of
