level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	347	208	1628	53	-1	
3	1	1	1	0	0	347	208	1628	53	-1	
4	1	1	1	1	0	347	208	1628	53	-1	
5	1	1	1	1	1	347	211	73	50	93.545616	(see
5	1	1	1	1	2	435	208	15	25	53.867790	>
5	1	1	1	1	3	469	211	11	50	91.594696	)
5	1	1	1	1	4	499	213	81	36	96.542580	that
5	1	1	1	1	5	595	213	122	36	96.799873	Peano
5	1	1	1	1	6	732	212	219	37	96.598213	Arithmetic
5	1	1	1	1	7	965	224	67	25	96.666359	can
5	1	1	1	1	8	1048	223	107	36	93.288208	prove
5	1	1	1	1	9	1169	210	58	44	0.000000	f’s
5	1	1	1	1	10	1241	212	225	46	96.487961	consistency
5	1	1	1	1	11	1482	212	138	46	96.911118	implies
5	1	1	1	1	12	1639	211	78	36	95.326218	both
5	1	1	1	1	13	1746	211	61	36	93.306030	the
5	1	1	1	1	14	1822	212	153	38	80.067902	consiste
2	1	2	0	0	0	345	293	1009	49	-1	
3	1	2	1	0	0	345	293	1009	49	-1	
4	1	2	1	1	0	345	293	1009	49	-1	
5	1	2	1	1	1	345	296	71	36	96.429367	and
5	1	2	1	1	2	435	296	75	36	97.006065	also
5	1	2	1	1	3	527	296	63	36	93.293663	the
5	1	2	1	1	4	606	294	270	48	92.167130	self-justifying
5	1	2	1	1	5	894	301	170	40	96.460922	property
5	1	2	1	1	6	1082	294	39	38	93.161102	of
5	1	2	1	1	7	1137	294	136	46	1.888824	IS74,—;
5	1	2	1	1	8	1285	293	69	49	40.607010	(A).
2	1	3	0	0	0	343	383	1635	154	-1	
3	1	3	1	0	0	343	383	1635	154	-1	
4	1	3	1	1	0	414	383	1564	67	-1	
5	1	3	1	1	1	414	399	78	38	96.443932	Our
5	1	3	1	1	2	509	412	98	26	96.765450	more
5	1	3	1	1	3	624	400	142	36	96.378021	modest
5	1	3	1	1	4	784	399	92	46	96.378021	goal,
5	1	3	1	1	5	896	399	126	37	96.821396	within
5	1	3	1	1	6	1040	399	61	37	96.528442	the
5	1	3	1	1	7	1119	404	141	42	96.639168	present
5	1	3	1	1	8	1278	399	232	37	96.500328	abbreviated
5	1	3	1	1	9	1527	409	124	36	96.573761	paper,
5	1	3	1	1	10	1671	398	64	36	96.811684	has
5	1	3	1	1	11	1753	398	90	36	96.757057	been
5	1	3	1	1	12	1862	402	39	31	96.704132	to
5	1	3	1	1	13	1919	383	59	67	70.067825	meé
4	1	3	1	2	0	343	478	1635	59	-1	
5	1	3	1	2	1	343	485	216	36	95.934814	summarize
5	1	3	1	2	2	578	484	63	37	96.539536	the
5	1	3	1	2	3	662	484	171	37	95.821503	intuition
5	1	3	1	2	4	853	483	137	38	96.350899	behind
5	1	3	1	2	5	1010	484	176	37	90.336128	Theorem
5	1	3	1	2	6	1207	484	87	37	90.336128	4.4’s
5	1	3	1	2	7	1314	485	196	45	96.845917	surprising
